"Symbol","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"AAPL",1166,56,0.607142857142857,3.36103017940526,3.69662507702224,0.909215868359765,1.405151796556,32.9492744052896,139.367496490479
"MSFT",1201,41,0.731707317073171,3.58623731681817,5.42256265945437,0.66135470294022,1.80369464438242,47.9389302505472,238.410011291504
"AMZN",1215,71,0.633802816901408,53.3575041452355,55.2928602111824,0.964998083684673,1.6701889909927,963.473321044857,1801.33984375
"NVDA",1285,43,0.651162790697674,4.42647946417671,2.78333349583941,1.59035181044367,2.96865671282818,82.1914225593567,264.004989624023
"IDXX",1203,60,0.566666666666667,7.99784653957596,12.0028039566627,0.666331514573843,0.871356595981179,-40.1461205276472,426.559997558594
"MCHP",1215,38,0.605263157894737,3.43552738894586,3.72354409032187,0.922649847997072,1.41472976692884,23.1639685909269,49.6999969482422
"NFLX",1223,65,0.507692307692308,10.281806576538,13.8559404846192,0.742050428691675,0.76523950458829,-104.09047848206,350.730010986328
"ADBE",1222,61,0.491803278688525,7.34391399785365,9.44885091828387,0.777228264194846,0.75215638470469,-72.5969585311904,361.960021972657
"CSCO",1215,38,0.5,1.0564686947672,1.16813791034096,0.904404082270416,0.904404082270416,-2.12171509590148,22.1900024414062
"INTU",1242,54,0.425925925925926,7.95362236208723,7.45137415279264,1.06740343445328,0.791944483626624,-48.0592844085654,457.029983520507
"QCOM",1215,25,0.68,3.0103622611326,2.36037470402718,1.27537473435741,2.71017131050949,32.2931608070368,110.309993743896
"SBUX",1215,33,0.606060606060606,2.73073205207827,2.54463408842824,1.07313348685232,1.65097459515742,21.5343978919983,52.3199996948239
"ILMN",1234,82,0.585365853658537,8.0741070467313,12.3281470050588,0.654932735910605,0.92461092128556,-31.5998599288975,92.299987792968
"ISRG",1228,61,0.60655737704918,7.26173240628629,5.35555738264718,1.35592467551845,2.0903838747576,140.150721849061,209.739990234375
"AMGN",1215,43,0.418604651162791,6.26115197347003,4.88418667816158,1.28192315037122,0.922984668267277,-9.40393143157897,18.190002441406
"AMAT",1189,63,0.698412698412698,2.82230936957273,3.1333952127156,0.900719244773065,2.08587614579025,64.6471032196037,125.409999847412
"GILD",1215,42,0.428571428571429,1.87731113366021,1.57904045453072,1.1888936273125,0.891670220484375,-4.10537050285358,10.5200004577637
"LRCX",1161,51,0.568627450980392,22.1929848028249,14.0652081626199,1.57786394244812,2.07991156049979,334.161979704284,582.75
"MELI",1237,43,0.651162790697674,52.2056091796874,90.4804387636312,0.576982272555818,1.07703357543753,104.55047557678,1037.89001464844
