"Symbol","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"AAPL",1168,112,0.633928571428571,1.19669120068612,2.61163927419711,0.458214582890287,0.793493545980741,-22.112134993367,139.367496490479
"MSFT",1183,83,0.674698795180723,2.6763848754475,2.38798719796076,1.12077019413379,2.32456040264787,85.4018986801191,242.360000610351
"AMZN",1191,103,0.504854368932039,50.2136333535996,54.8601633734012,0.915302293429654,0.933249397222392,-186.759397656282,1859.11010742188
"NVDA",1252,101,0.564356435643564,2.43903391683478,2.00027337240734,1.21935029005529,1.57961287575345,51.0129048736591,265.60998916626
"IDXX",1186,117,0.658119658119658,5.71311448076917,9.62897210475928,0.59332547842208,1.1421515459625,54.7509308288547,477.350021362305
"MCHP",1215,67,0.522388059701492,2.16013147223337,2.99228020614386,0.721901467582518,0.789579730168379,-20.1483650684355,52.3949966430664
"NFLX",1202,103,0.533980582524272,10.9361135108532,12.5665587859471,0.870255230340605,0.997167451431943,-1.70857862853762,350.730010986328
"ADBE",1176,98,0.581632653061224,7.2863643743683,9.30938910991386,0.782689850895676,1.08812979270862,33.6378158325252,349.119995117188
"CSCO",1215,72,0.444444444444444,0.891490047228338,1.33878004887582,0.665897320457476,0.532717856365981,-25.023520443726,21.7600021362304
"INTU",1228,95,0.621052631578947,6.57379592993787,8.58601288447911,0.765640119387811,1.25479908455225,78.7574960250865,456.539978027344
"QCOM",1215,56,0.625,3.08407522325795,2.73358427311132,1.12821662518116,1.8803610419686,50.5373630786906,129.680004119872
"SBUX",1215,61,0.475409836065574,2.40054578731137,2.2172803199768,1.08265326927021,0.981154525276124,-1.33714240722782,51.9899978637692
"ILMN",1239,105,0.59047619047619,6.28899974702412,14.9788853492915,0.419857659657003,0.605376160435679,-254.174085704041,87.899993896484
"ISRG",1198,100,0.6,2.88898387957259,6.05651645187372,0.477004215629401,0.715506323444102,-68.9216253005935,209.589996337891
"AMGN",1215,77,0.454545454545455,4.46041149662557,3.86481876238867,1.1541062520274,0.961755210022836,-6.20798563842905,23.899993896484
"AMAT",1153,110,0.609090909090909,1.53546728941505,2.34523080712254,0.654719051426318,1.02014363826891,2.03138368453898,125.409999847412
"GILD",1215,85,0.4,1.29978167050306,1.63328745266784,0.795807050608248,0.530538033738832,-39.1050832889562,11.2400016784668
"LRCX",1126,86,0.63953488372093,9.68193158150415,12.7846183897448,0.757310956521827,1.34361621318389,136.18306690064,584.849990844727
"MELI",1214,74,0.608108108108108,45.3956497709145,64.009906023854,0.709197256968278,1.10047850219216,186.516964999387,1064.92004394532
"CME",1215,67,0.328358208955224,5.36412814996887,4.83658898851176,1.10907256388959,0.542213253457131,-99.6356851837139,45.220001220703
"FISV",1215,53,0.509433962264151,2.85034515561711,3.68340403688857,0.773834509348271,0.803597375092435,-18.8091857574409,33.1600036621098
"REGN",1173,127,0.606299212598425,9.67961907768742,13.5720448073119,0.713202705643332,1.09833216669073,66.7284286163339,276.190032958985
"MRVL",1201,100,0.64,0.890647736880176,1.13642711378204,0.783726229406912,1.39329107450118,16.0900790641779,71.4499969482422
"ALGN",1204,88,0.613636363636364,16.2125657184742,21.5023477378846,0.753990490531861,1.19751430849178,144.398725709533,453.25
"DXCM",1251,102,0.57843137254902,8.02626022254817,11.2808187142128,0.71149625092688,0.97623904196944,-11.5258515808069,427.140022277832
"LULU",1164,91,0.549450549450549,5.0175314392395,7.09213869301403,0.707477907077864,0.86277793546081,-39.9011144516001,281.110000610352
"KLAC",1113,80,0.6375,4.23851534281709,6.98129745767535,0.60712430153756,1.0677013578764,13.7066562110865,347.920013427734
"EBAY",1215,64,0.375,2.46269615205128,1.27953482920169,1.92468082606845,1.15480849564107,7.92331448116285,38.2800006866455
"VRTX",1218,139,0.561151079136691,4.16494776225938,4.28861379199417,0.971164102030906,1.24181639276083,63.2604841445872,61.419998168945
"SNPS",1215,39,0.461538461538462,3.62701780916849,3.07127384560002,1.18094901057574,1.01224200906492,0.789569807432443,288.160011291504
"TROW",1215,69,0.492753623188406,4.51189640377264,4.51918174625936,0.998387906728304,0.969862537964638,-4.76688339080775,109.039993286133
"PAYX",1215,77,0.558441558441558,1.93594440657146,1.69288949957455,1.14357399408408,1.44628475722398,25.6873664970383,72.1300048828126
"ORLY",1160,90,0.555555555555556,5.87700415905764,7.46987584777839,0.78676062076795,0.983450775959937,-4.94482595825355,366.940002441406
"CTAS",1215,69,0.492753623188406,6.00103143481086,8.71094354195733,0.68890716670429,0.669224104798454,-100.847955184937,279.750015258789
"POOL",1170,96,0.677083333333333,6.33229262779823,7.93763676250818,0.797755404695202,1.67271294532865,165.532281169131,414.16000366211
"CTSH",1215,69,0.391304347826087,1.60688751329492,1.77355825838361,0.906024657323298,0.582444422564977,-31.1034839931489,24.0800018310546
"XLNX",1149,91,0.67032967032967,3.63432701584859,4.77976482805885,0.760356868294827,1.54605896553281,78.3010031249984,130.249992370605
"ROST",1192,101,0.643564356435644,1.71747494884787,3.5275462088479,0.486875251850719,0.879080315841576,-15.3557918434129,32.4699935913082
"SBAC",1195,83,0.55421686746988,3.9712903659323,5.19616358980737,0.764273544759494,0.950177920511804,-9.57869598998698,228.489990234375
"MPWR",1170,66,0.666666666666667,5.50280397588553,6.86535611322585,0.8015321980581,1.6030643961162,91.0855404479945,378.16000366211
"ANSS",1215,40,0.6,12.9075847856523,17.1181499073985,0.75402919447934,1.13104379171901,35.8916363372787,263.739990234375
"GRMN",1215,53,0.471698113207547,2.07875312133788,2.21615602550499,0.937999444720597,0.837499504214819,-10.0835406806926,74.240001678467
"SGEN",1169,109,0.669724770642202,3.24633712342674,6.54252972215025,0.496189893098386,1.00616283878284,1.45154001274322,99.4099998474117
"ZBRA",1182,65,0.615384615384615,5.79309786956783,7.81979830932618,0.740824461247135,1.18531913799542,36.2289570495585,440.970001220703
"ALNY",1242,115,0.556521739130435,2.75583285812139,4.15163401586496,0.663794748667707,0.832997331661437,-35.3600318893442,96.5900039672851
"DISH",1215,61,0.426229508196721,1.22150978274711,1.8342926954324,0.665929590075136,0.494690552627244,-32.440989988709,8.12000083923339
"VRSN",1142,96,0.572916666666667,4.16503182078968,4.13105338760001,1.00822512565237,1.35249711977757,59.7035612518319,107.559997558594
"TSCO",1215,48,0.583333333333333,5.73040795824865,3.81416516853335,1.50240162789074,2.10336227904703,84.1681194602951,147.639999389648
"DLTR",1138,110,0.572727272727273,1.91344170457147,2.42715703405828,0.788346892154788,1.05672030225003,6.47044678726391,50.4899902343752
"CERN",1215,60,0.5,1.47083309193929,1.35582088596344,1.084828466036,1.084828466036,3.45036617927565,41.7300033569335
"TRMB",1215,51,0.627450980392157,1.66928134442568,2.81178930481358,0.593672271804999,0.999869089355788,-0.00699376983635958,55.6400032043457
"ULTA",1220,124,0.580645161290323,5.81185914512211,10.5966134682288,0.548463824083745,0.759411448731339,-132.570041899108,164.789993286133
"NTAP",1183,106,0.5,1.21458339843751,1.62602023035445,0.746966966193736,0.746966966193736,-21.8061520915982,33.620002746582
"PODD",1205,105,0.580952380952381,4.3090625466518,5.47465402828567,0.78709312486019,1.09119728673799,21.96803810119,188.420013427734
"TTWO",1206,95,0.589473684210526,2.72125361055646,4.50898498842302,0.603518001843735,0.866589951365363,-23.4602123573361,80.280006408691
"PFG",1215,86,0.5,1.32396592912452,1.75498324895904,0.754403741408823,0.754403741408823,-18.5337447528847,26.0300025939941
"HOLX",1215,70,0.542857142857143,1.72464193808907,1.38357046099901,1.24651543719991,1.4802370816749,21.2621388954162,37.8100051879883
"SBNY",1215,69,0.507246376811594,7.82728098103111,5.90359611015319,1.32584967450085,1.36484525316264,73.2325665908806,220.76000213623
"AKAM",1215,58,0.637931034482759,2.80707802743656,3.2879113581704,0.853757209865472,1.5042388935725,34.8157484935742,59.7599983215332
"ENTG",1175,81,0.518518518518518,0.984058648936,1.18484890110308,0.830535140826694,0.894422459351824,-4.87864388770813,110.829999923706
