Symbol,N_trade,Win_ratio,Payoff_ratio,Profit_factor,Fitness
AAPL,609,0.55,2.357,2.882,515.5532834
MSFT,611,0.524,2.382,2.619,471.1523254
AMZN,622,0.551,3.52,4.327,928.1988169
NVDA,650,0.534,7.017,8.036,2132.018211
IDXX,617,0.553,3.349,4.138,866.0462463
MCHP,630,0.462,0.814,0.699,-43.36499786
NFLX,626,0.513,5.649,5.945,1508.359722
ADBE,611,0.538,4.122,4.809,1074.112444
CSCO,630,0.417,0.754,0.54,-35.32999802
INTU,642,0.559,2.455,3.114,598.2182942
QCOM,630,0.425,0.832,0.616,-50.01999855
SBUX,630,0.425,0.982,0.727,-64.3249979
ILMN,642,0.561,3.213,4.102,874.7149703
ISRG,619,0.564,2.706,3.498,674.4366143
AMGN,630,0.416,0.878,0.625,-163.4399948
AMAT,598,0.562,2.464,3.16,565.8296602
GILD,630,0.405,0.884,0.601,-106.4800034
LRCX,583,0.559,3.012,3.82,724.8352569
MELI,630,0.554,3.348,4.158,887.3629932
CME,630,0.43,0.929,0.701,-163.772007
FISV,630,0.441,0.793,0.626,-75.13000345
REGN,609,0.542,2.872,3.397,668.8257782
MRVL,622,0.568,1.998,2.622,436.3598704
ALGN,626,0.54,5.56,6.526,1591.37901
DXCM,651,0.516,3.868,4.126,984.5644949
LULU,605,0.542,3.063,3.627,727.7687687
KLAC,580,0.56,2.152,2.743,444.4370307
EBAY,630,0.443,0.835,0.663,-41.17760897
VRTX,635,0.535,2.587,2.982,584.5495338
SNPS,630,0.435,0.815,0.627,-85.65999985
TROW,630,0.425,0.855,0.633,-105.739996
PAYX,630,0.394,0.818,0.531,-54.49000359
ORLY,604,0.522,2.868,3.126,614.3814358
CTAS,630,0.414,0.863,0.61,-198.0299988
POOL,612,0.56,2.19,2.793,482.2978599
CTSH,630,0.448,0.816,0.662,-76.05000305
XLNX,600,0.542,1.773,2.095,301.1905904
ROST,620,0.566,2.029,2.648,443.3175092
SBAC,622,0.529,1.661,1.865,253.315844
MPWR,607,0.57,3.217,4.264,851.9479074
ANSS,630,0.43,0.799,0.603,-171.449995
GRMN,630,0.432,0.912,0.693,-54.71000385
SGEN,610,0.58,2.609,3.608,667.5377634
ZBRA,613,0.537,3.497,4.051,866.5126918
ALNY,643,0.532,3.767,4.28,987.2675939
DISH,630,0.435,0.835,0.643,-69.88000011
VRSN,594,0.591,2.308,3.334,567.0474671
TSCO,630,0.449,0.88,0.718,-89.71250105
DLTR,594,0.564,2.445,3.162,560.0232879
CERN,630,0.427,0.812,0.605,-66.44749928
TRMB,630,0.429,1.009,0.757,-39.57000065
ULTA,633,0.548,2.808,3.407,688.288161
NTAP,609,0.583,2.277,3.183,554.3903857
PODD,626,0.551,2.872,3.527,709.9606501
TTWO,626,0.569,3.558,4.691,996.6418311
PFG,630,0.457,0.744,0.626,-69.18999815
HOLX,630,0.437,0.887,0.687,-36.9800005
SBNY,630,0.406,0.875,0.599,-143.5399971
AKAM,630,0.449,0.873,0.712,-69.95000267
ENTG,613,0.591,2.395,3.454,616.0572924
