"Symbol","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"000100.KS",1126,43,0.627906976744186,754.348330844906,1623.31051850586,0.46469749456144,0.78417702207243,-5605.56336328131,27546.49609375
"000120.KS",1195,155,0.509677419354839,2669.01265822785,4531.81578947369,0.588949944617634,0.612197968747277,-133566,-74000
"000240.KS",1178,170,0.447058823529412,453.970513157894,405.792489361702,1.11872576516134,0.904501682470868,-3642.73500000006,-3730
"000270.KS",1150,100,0.53,1263.66613207547,1657.67382978724,0.76231289254151,0.859629432014894,-10936.3650000001,50950
"000660.KS",1210,161,0.540372670807453,2479.56091954023,3227.90013513514,0.768165313589052,0.903113274084427,-23142.8100000004,69300
"001740.KS",1152,124,0.604838709677419,86.0306599999999,104.041826530612,0.826885329379401,1.26564081027459,1354.24999999999,390
"003550.KS",1210,163,0.478527607361963,1913.0206040665,2207.59198227482,0.866564392073587,0.795200265667527,-38429.7113761723,8169.03125
"004170.KS",1205,136,0.507352941176471,6538.67811594203,6554.15164179105,0.997639126054033,1.02741939847356,12040.6299999995,-84000
"005930.KS",1174,137,0.518248175182482,1392.76887323943,1422.68022727273,0.978975349864366,1.05314014909651,4989.6949999998,31900
"006360.KS",1209,172,0.546511627906977,538.842627659573,917.269089743591,0.587442260602283,0.707943237136085,-20895.7820000002,-27000
"006400.KS",1203,115,0.556521739130435,10905.58125,17668.1264705882,0.617246048592322,0.774583276664875,-203117.25,240500
"006800.KS",1169,164,0.518292682926829,143.41764117647,190.880025316456,0.751349655044845,0.808414185807745,-2889.02250000003,710
"009150.KS",1224,176,0.630681818181818,2703.51306306306,3923.90523076923,0.688985310313692,1.17657491453569,45036.1099999995,32200
"009540.KS",1226,124,0.532258064516129,3432.68,5647.62568965517,0.607809403213049,0.691645182966573,-101005.41,-26600
"010060.KS",1179,106,0.5,4901.18287875147,5885.35437427035,0.832776170654823,0.832776170654823,-52161.0892625003,-55309.3125
"010620.KS",1206,154,0.422077922077922,2033.76307692308,2405.84415730337,0.845342816885799,0.617385203343561,-81925.5300000003,20800
"010950.KS",1189,146,0.534246575342466,2469.12923076923,3801.44485294118,0.649523885335036,0.745042103766659,-65906.1700000002,-27500
"011200.KS",1227,38,0.552631578947368,441.858952380952,117.471,3.76143007534584,4.64647244601546,7282.031,12605
"012450.KS",1166,95,0.536842105263158,2336.92705882353,3048.92784090909,0.766475030162318,0.888414239506323,-14969.5450000001,88500
"012630.KS",1219,80,0.475,376.29847368421,622.73930952381,0.60426324134244,0.546714361214588,-11855.709,-9560
"016360.KS",1181,170,0.547058823529412,596.058709677418,945.931428571429,0.63012887792258,0.76106474865974,-17403.2600000002,7400
"032640.KS",1175,114,0.447368421052632,209.721568627451,422.816984126984,0.496010275132337,0.401532127488082,-15941.67,-7210
"034220.KS",1185,136,0.522058823529412,540.719267605633,815.655707692308,0.662925867502922,0.724119024503192,-14626.5530000001,-6950
"035250.KS",1162,165,0.484848484848485,549.170649999999,680.950482352942,0.806476629699133,0.759036827952125,-13947.1390000001,-15800
"035420.KS",1197,145,0.6,5927.63471264368,8134.89982758621,0.728667204056098,1.09300080608415,43880.0299999998,84000
"036460.KS",1169,108,0.5,884.339814814814,1573.73388888889,0.56193732692583,0.56193732692583,-37227.2800000001,-24650
"042660.KS",1206,133,0.443609022556391,1097.47296610169,1643.26146344489,0.667862656379089,0.532485090896841,-56850.4432949219,-6250
"042670.KS",1197,91,0.505494505494505,509.42306194803,740.846396972657,0.687623053887689,0.702903566196305,-9904.62701416018,-16726.88671875
"047040.KS",1220,106,0.490566037735849,218.203125,200.355018518519,1.0890824028939,1.04874601760153,527.391499999984,-940
"051900.KS",1196,151,0.543046357615894,24292.1256097561,45081.4702898551,0.538849453080564,0.640371813805888,-1118667.15,-761500
"051910.KS",1154,120,0.6,15468.6284722222,30786.578125,0.502447151138926,0.753670726708389,-364014.5,154000
"078930.KS",1176,173,0.526011560693642,651.452252747251,824.581890243903,0.790039486017038,0.876751136921347,-8333.56000000022,-8650
"096770.KS",1213,112,0.482142857142857,7409.38281631944,9574.66012653556,0.773853350239014,0.720484153670806,-155223.615257813,-42900
