"Symbol","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"005930.KS",1174,109,0.541284403669725,1321.06237288135,1677.8368,0.787360470864242,0.929085355619806,-5949.16000000018,31900
"005490.KS",1178,43,0.558139534883721,18020.8125,17693.4105263158,1.01850417550631,1.28653159011324,96324.6999999998,229500
"015760.KS",1178,70,0.514285714285714,850.168055555555,657.219735294118,1.29358266330071,1.36967576114193,8260.57899999997,-16950
"017670.KS",1178,61,0.475409836065574,1533.82008724407,1961.67091203613,0.781894698969681,0.708592070941274,-18292.6866550782,-38685.8515625
"009540.KS",1226,95,0.610526315789474,3781.25051724138,6642.49378378379,0.569251645590167,0.892340417411613,-26459.7400000003,-26600
"105560.KS",1178,60,0.45,115226.395740741,1684.35984848485,68.4096072726927,55.9714968594758,3055528.81,7000
"055550.KS",1178,53,0.377358490566038,1181.78425,1657.35606060606,0.713053928537145,0.432153896083118,-31057.0650000001,-4700
"033780.KS",1178,62,0.354838709677419,999.79318181818,1689.07375,0.591918015313528,0.325554908422441,-45567.5000000001,-10200
"066570.KS",1178,69,0.449275362318841,4915.6664516129,3510.005,1.40047277756382,1.14249095011785,19005.4699999998,44600
"030200.KS",1178,52,0.461538461538462,819.001041666666,917.725357142858,0.892424988905669,0.764935704776287,-6040.28500000004,2850
"004170.KS",1205,91,0.549450549450549,8253.0952,9880.3243902439,0.835306096644896,1.01866597151817,7561.45999999985,-76000
"000810.KS",1178,59,0.406779661016949,8830.93125,7231.87428571428,1.22111238402532,0.837334206188793,-41173.2499999999,-28500
"005380.KS",1178,60,0.45,6938.02629629629,6603.04666666667,1.05073107105553,0.859689058136339,-30573.8300000003,67200
"034220.KS",1185,101,0.524752475247525,614.169603773584,824.091187500001,0.745268986113972,0.82290117216751,-7005.38800000006,-6950
"003550.KS",1210,121,0.471074380165289,2110.99154738212,2702.93721831665,0.780999104632115,0.695577327562978,-52661.4637714846,8169.03125
"096770.KS",1213,93,0.559139784946237,8481.5735015625,13667.2534146341,0.620576296074301,0.78707237550887,-119315.56791875,-42900
"010950.KS",1189,114,0.526315789473684,2961.03216666667,4070.35055555556,0.727463673276298,0.808292970306998,-42137.0000000001,-27500
"034020.KS",1178,12,0.416666666666667,619.92577227539,610.255126436942,1.01584688996373,0.725604921402664,-1172.15702368164,6125.0693359375
"000720.KS",1178,64,0.40625,1828.46923076923,1871.97815789474,0.976757780563829,0.66830795512262,-23594.9700000001,-16950
"035420.KS",1197,120,0.583333333333333,5492.34814285714,9133.1922,0.601361279012298,0.841905790617217,-72195.2400000001,79500
"023530.KS",1178,63,0.380952380952381,3398.94208333333,4610.09871794872,0.737281843900667,0.453711903938872,-98219.2400000001,-132100
"012330.KS",1178,58,0.379310344827586,11054.925,8269.53888888889,1.33682483975662,0.816948513184599,-54495.0500000002,33500
"051910.KS",1154,96,0.520833333333333,19733.814,32599.472826087,0.605341506756161,0.657979898648001,-512885.05,154000
"010140.KS",1178,57,0.403508771929825,347.329608695652,403.656147058824,0.860459109136363,0.582075279709892,-5735.72800000001,500
"011200.KS",1227,26,0.576923076923077,234.567766666667,145.984136363637,1.60680312607648,2.19109517192248,1912.691,12715
"010060.KS",1179,81,0.592592592592593,4602.09790642903,7043.85716821733,0.653349123431152,0.95032599771804,-11546.5870425784,-53129.640625
"029780.KS",1178,66,0.454545454545455,647.405666666666,1149.18972222222,0.563358385606476,0.46946532133873,-21948.6600000001,-1300
"036460.KS",1169,69,0.492753623188406,1219.59279411765,2017.84957142857,0.604402236611827,0.587133601280061,-29158.5800000001,-24850
"016360.KS",1181,131,0.534351145038168,708.440214285713,1199.0631147541,0.590828127033995,0.677999490039011,-23552.0350000001,8200
"086790.KS",1178,69,0.434782608695652,1375.182,1677.06294871795,0.819994265004347,0.630764819234113,-24149.9950000001,4750
"090430.KS",1178,52,0.403846153846154,10170.4838095238,6541.49193548387,1.55476516822634,1.05322801718558,10793.9099999999,-60800
"000120.KS",1195,124,0.5,2908.99516129032,4824.02822580645,0.603022002592867,0.603022002592867,-118732.05,-74000
"024110.KS",1178,65,0.476923076923077,248.923419354838,320.663029411765,0.776277264677104,0.707782211911477,-3185.91700000001,-1990
"004020.KS",1178,39,0.384615384615385,1481.68466666667,2256.24333333333,0.656704285737501,0.410440178585938,-31924.57,-8950
"000660.KS",1210,138,0.557971014492754,3106.1325974026,3652.65590163935,0.850376460593656,1.07342602402806,16360.1999999997,68300
"002380.KS",1178,61,0.524590163934426,16779.9491010254,24080.7249908405,0.696820760479923,0.768905666736467,-161382.653501563,-126576.375
"051900.KS",1196,118,0.516949152542373,27862.5991803279,47716.2342105263,0.5839228438983,0.624899885575373,-1020206.8,-761500
"006360.KS",1209,111,0.531531531531532,758.453966101694,1208.74988461539,0.627469731956192,0.711936811257987,-18106.2100000001,-27000
