"Symbol","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"000100.KS",1126,171,0.467836257309941,1008.8363017334,955.163798411745,1.05619193630548,0.928520383565256,-6213.00151679706,28204.65625
"000120.KS",1195,272,0.459558823529412,2153.74912,3562.99013605442,0.604477991169802,0.514011897253233,-254540.91,-73000
"000240.KS",1178,265,0.460377358490566,288.068139344262,361.940321678322,0.795899550534978,0.679019196959912,-16613.1530000001,-3520
"000270.KS",1150,164,0.518292682926829,1050.42417647059,1206.68132911393,0.870506695617741,0.936621128196303,-6041.77000000024,49650
"000660.KS",1210,265,0.524528301886792,2025.27992805755,2245.21642857143,0.902042182786887,0.995110027042677,-1383.36000000054,69300
"001740.KS",1152,249,0.485943775100402,78.0784214876032,94.2872304687501,0.82809115401349,0.782804919028377,-2621.27650000003,480
"003550.KS",1210,282,0.482269503546099,1496.55252508616,1840.91972319135,0.812937417223057,0.757256772207779,-65243.1361742193,8169.03125
"004170.KS",1205,269,0.483271375464684,4266.57038461538,5566.47517985612,0.766476135572325,0.716848184348217,-219085.900000001,-83700
"005930.KS",1174,246,0.459349593495935,826.181902654865,1028.9692481203,0.802921860069302,0.682181730735573,-43494.3550000005,33600
"006360.KS",1209,315,0.514285714285714,548.481567901234,759.878196078432,0.721801955539491,0.764260894100638,-27407.3500000003,-27000
"006400.KS",1203,198,0.505050505050505,7865.692,11516.1989795918,0.68301112319603,0.696950125710235,-342018.300000001,249500
"006800.KS",1169,313,0.527156549520767,114.285896969697,153.470773648649,0.744675316691498,0.830212346311467,-3856.50150000006,710
"009150.KS",1224,283,0.579505300353357,2436.55859756097,2799.7918487395,0.870264194339285,1.19935569640036,66420.3799999997,34200
"009540.KS",1226,229,0.550218340611354,2749.86436507936,4366.62145631068,0.629746451024563,0.77036944494267,-103279.100000001,-26600
"010060.KS",1179,306,0.506535947712418,3694.64583245463,4679.19292108599,0.789590404748078,0.81050670686061,-133888.027053517,-55309.3125
"010620.KS",1206,303,0.495049504950495,1184.87333333333,1805.73349673203,0.656172871288973,0.643306736557816,-98546.2250000006,20800
"010950.KS",1189,231,0.519480519480519,2145.24475,2860.19342342342,0.750034851640317,0.810848488259802,-60052.1000000003,-27500
"011200.KS",1227,122,0.459016393442623,829.406857142857,672.030787878788,1.23417985024289,1.0471829032364,2092.75199999998,12605
"012450.KS",1166,285,0.575438596491228,1093.69948170732,1461.12074380165,0.748534634353111,1.0145428101976,2571.10499999976,89600
"012630.KS",1219,288,0.46875,159.20294074074,269.486346405229,0.59076440370506,0.521262709151524,-19739.0140000001,-10310
"016360.KS",1181,298,0.516778523489933,459.194480519479,687.898750000001,0.667532075788012,0.713888469939957,-28341.4700000003,7450
"032640.KS",1175,274,0.41970802919708,160.401939130434,227.192226415095,0.706018606628599,0.510642388442069,-17677.3410000001,-7300
"034220.KS",1185,244,0.532786885245902,363.30783076923,539.196342105264,0.673795058309769,0.768362785791842,-14238.3650000001,-4700
"035250.KS",1162,294,0.503401360544218,325.475493243242,510.162541095891,0.637983911057212,0.646723416688133,-26313.3580000002,-15800
"035420.KS",1197,246,0.544715447154472,5326.15402985075,6861.700625,0.776214865808248,0.928685643020582,-54805.8300000002,85500
"036460.KS",1169,238,0.478991596638655,799.60942982456,1083.71096774194,0.737843810412529,0.678340277314744,-43224.6850000003,-24650
"042660.KS",1206,249,0.461847389558233,605.959260869565,937.622611940299,0.646272021549911,0.554636436404774,-55956.1150000002,-6250
"042670.KS",1197,277,0.530685920577617,416.951466030904,725.602403223408,0.574628011399416,0.649771674428571,-33036.4469125001,-16726.88671875
"047040.KS",1220,289,0.484429065743945,99.7788892857142,107.333983221477,0.929611352257625,0.873460330980319,-2023.71900000003,-935
"051900.KS",1196,269,0.49814126394052,16032.3014925373,26757.0159259259,0.599181221737174,0.594742842316899,-1463868.75,-761500
"051910.KS",1154,221,0.506787330316742,11944.4035714286,15952.3467889908,0.748755260239938,0.769363203182322,-401032.600000001,154000
"078930.KS",1176,295,0.484745762711864,542.468986013984,824.288453947369,0.658105767970178,0.619138979077207,-47718.7800000004,-8650
"096770.KS",1213,286,0.475524475524476,4801.50860845588,5940.09205825,0.808322255172328,0.732878844689578,-238008.637987501,-37700
