"Symbol","Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold"
"000100.KS",1126,263,0.429657794676806,1056.89476245852,964.620914864585,1.09565814525894,0.825395802761738,-25264.0290718754,28204.65625
"000120.KS",1195,275,0.4,2361.59872727273,2839.2113939394,0.831779814744973,0.554519876496648,-208694.02,-73000
"000240.KS",1178,278,0.453237410071942,298.469706349206,319.265559210527,0.934863463153545,0.774952607614122,-10921.1820000001,-3520
"000270.KS",1150,277,0.541516245487365,1336.9403,1571.18381889764,0.850912721936006,1.00501502590867,1000.69999999967,49650
"000660.KS",1210,282,0.51063829787234,2017.58055555555,2404.93391304348,0.83893388696169,0.875409273351329,-41349.2800000006,69300
"001740.KS",1152,259,0.420849420849421,111.020481651376,103.09974,1.07682600995285,0.782493567232402,-3363.72850000003,480
"003550.KS",1210,262,0.461832061068702,1563.63574174522,1936.46199686946,0.807470399250301,0.692935590846003,-83841.2168074224,8169.03125
"004170.KS",1205,263,0.452471482889734,5649.14873949579,6706.34791666667,0.842358435573628,0.696115651619873,-293465.400000001,-83700
"005930.KS",1174,271,0.476014760147601,944.522751937983,1081.67404929578,0.873204596664692,0.793263330772854,-31754.2800000005,33600
"006360.KS",1209,271,0.476014760147601,687.111945736433,856.176352112677,0.802535533761164,0.729063970811198,-32939.6010000002,-27000
"006400.KS",1203,236,0.521186440677966,9268.59308943089,10643.5508849558,0.870817755241033,0.947881273403956,-62684.3000000018,249500
"006800.KS",1169,285,0.473684210526316,109.428477777778,126.417936666667,0.865608794631048,0.779047915167943,-4189.84600000005,710
"009150.KS",1224,278,0.510791366906475,2688.50985915493,3096.3555882353,0.868282011720492,0.906588571061102,-39335.9600000002,34200
"009540.KS",1226,292,0.482876712328767,2555.08085106383,2932.10046357616,0.871416543465738,0.813706838600457,-82480.7700000008,-26600
"010060.KS",1179,276,0.445652173913043,4037.27515236598,4909.24932438726,0.822381363340083,0.661130115626341,-254530.302890235,-55309.3125
"010620.KS",1206,289,0.463667820069204,1615.75335820895,1751.278,0.922613861539374,0.797614564169523,-54937.1400000005,20800
"010950.KS",1189,271,0.472324723247232,1924.438125,2520.66153846154,0.763465501272559,0.68338170743278,-114126.52,-27500
"011200.KS",1227,260,0.45,632.961568376068,570.365321678322,1.10974763773077,0.907975339961538,-7505.73750000012,12605
"012450.KS",1166,282,0.563829787234043,1267.90176100629,1612.92829268293,0.786086874883491,1.01616108216646,3206.19999999969,89600
"012630.KS",1219,249,0.457831325301205,191.919438596491,254.773503703704,0.753294341077513,0.636115221354344,-12515.6070000001,-10310
"016360.KS",1181,298,0.456375838926175,556.06588235294,685.509660493828,0.811171474888276,0.680983460400034,-35427.6050000003,7450
"032640.KS",1175,253,0.391304347826087,170.28402020202,267.185772727273,0.637324429605147,0.409708561889023,-24288.4910000001,-7300
"034220.KS",1185,270,0.496296296296296,392.996067164178,422.330852941177,0.930540746496008,0.916856323753419,-4775.52300000015,-4700
"035250.KS",1162,255,0.486274509803922,402.211443548386,545.326229007634,0.737561155421255,0.698149490627753,-21563.5170000002,-15800
"035420.KS",1197,292,0.486301369863014,5297.4261971831,6251.27753333333,0.847414975408776,0.802219510053641,-185457.11,85500
"036460.KS",1169,234,0.448717948717949,827.620619047618,1121.39065891473,0.738030598407678,0.600722580099273,-57759.2300000002,-24650
"042660.KS",1206,272,0.448529411764706,848.103975409835,852.19985058073,0.995193762157898,0.809424259888424,-24361.2925871096,-6250
"042670.KS",1197,243,0.473251028806584,588.616288626019,785.563649174881,0.749291657326906,0.673191723379642,-32861.2739023927,-16726.88671875
"047040.KS",1220,270,0.47037037037037,154.051311023622,142.261332167832,1.08287549874677,0.9617146037821,-778.85400000003,-935
"051900.KS",1196,266,0.481203007518797,19589.741015625,27441.4007246377,0.713875403526205,0.662145301821407,-1279426.45,-761500
"051910.KS",1154,282,0.531914893617021,14306.127,19755.6973484849,0.724151962223555,0.822899957072222,-461833.000000002,154000
"078930.KS",1176,259,0.444015444015444,698.436086956521,823.000416666668,0.848646091560123,0.677738198120932,-38191.9100000003,-8650
"096770.KS",1213,283,0.508833922261484,4809.46001397569,5900.96690647483,0.815029145257284,0.844346740410424,-127672.157987501,-37700
