"Train_size","N_trade","Win_ratio","Mean_gain","Mean_loss","Payoff_ratio","Profit_factor","Cum_Profit","Buy_hold","Model","Symbol"
2367,300,0.343333333333333,1224.54276699029,950.84992385787,1.28784021144154,0.673337775525271,-61189.5300000005,33600,"xgb","005930.KS"
2367,289,0.370242214532872,1223.13607476635,871.845824175826,1.40292703233695,0.824797760769526,-27800.3800000004,33600,"lr","005930.KS"
2367,276,0.402173913043478,1158.63878378378,1050.30884848485,1.10314102890327,0.742113055807652,-44692.0550000005,33600,"nn","005930.KS"
2367,300,0.336666666666667,7983.89356435643,6946.99849246231,1.14925799581203,0.583291746618166,-576079.450000001,225500,"xgb","005490.KS"
2367,303,0.316831683168317,9856.8359375,6725.66304347826,1.46555601637789,0.679678152523079,-445956.000000001,225500,"lr","005490.KS"
2367,253,0.359683794466403,7672.76538461538,6091.77623456791,1.25952843459287,0.707512886098466,-288646.100000001,225500,"nn","005490.KS"
2367,297,0.276094276094276,415.138670731707,359.729209302326,1.15403103222239,0.440142068103422,-43300.4090000002,-15100,"xgb","015760.KS"
2367,309,0.271844660194175,368.755666666666,357.77968,1.03067806049428,0.384786475917866,-49524.9520000002,-15100,"lr","015760.KS"
2367,291,0.316151202749141,383.454347826086,388.928180904523,0.985925851231179,0.455804916147078,-42118.9080000002,-15100,"nn","015760.KS"
2367,270,0.344444444444444,1148.13265899697,834.056532406428,1.37656455454449,0.723279681201341,-40851.6689492192,-36485.8515625,"xgb","017670.KS"
2367,275,0.327272727272727,1120.54064397569,916.616254225086,1.22247520574791,0.594717667661147,-68725.3490738286,-36485.8515625,"lr","017670.KS"
2367,259,0.32046332046332,1138.89694259695,933.493653983933,1.2200371558354,0.575358431445102,-69766.4368656255,-36485.8515625,"nn","017670.KS"
2367,300,0.326666666666667,2925.05183673469,2219.69782178218,1.31777028748273,0.63931429788766,-161723.880000001,-26600,"xgb","009540.KS"
2367,277,0.328519855595668,3054.1845054945,2098.61494623656,1.45533343835731,0.712017972529653,-112411.590000001,-26600,"lr","009540.KS"
2367,286,0.328671328671329,3019.49957446808,2134.14661458334,1.41485104811208,0.692687492304873,-125923.190000001,-26600,"nn","009540.KS"
2367,309,0.330097087378641,1176.5018627451,1901.26917874396,0.618798156462164,0.304915033619037,-273559.53,8200,"xgb","105560.KS"
2367,262,0.347328244274809,35842.4207142857,796.741637426902,44.9862527958747,23.9400526574538,3125417.465,8200,"lr","105560.KS"
2367,260,0.342307692307692,1249.39713483146,883.590935672516,1.41399949274097,0.735941256455828,-39897.7050000004,8200,"nn","105560.KS"
2367,289,0.339100346020761,798.352551020407,595.774476439792,1.34002476203944,0.687551972145893,-35554.3750000003,-3650,"xgb","055550.KS"
2367,280,0.339285714285714,747.658368421051,607.125945945947,1.23147161377883,0.632377315183721,-41290.7550000003,-3650,"lr","055550.KS"
2367,251,0.406374501992032,627.124019607842,670.804429530202,0.934883539822551,0.639987389677182,-35983.2100000002,-3650,"nn","055550.KS"
2367,294,0.295918367346939,1104.21022988506,1014.48429951691,1.08844486840346,0.457462335995656,-113931.96,-9800,"xgb","033780.KS"
2367,285,0.319298245614035,1028.05230769231,975.662577319589,1.05369656640582,0.494259729602731,-95725.7800000003,-9800,"lr","033780.KS"
2367,263,0.368821292775665,1119.3924742268,1064.63036144578,1.05143767711701,0.614394305303315,-68147.5700000004,-9800,"nn","033780.KS"
2367,328,0.292682926829268,2283.61567708333,2106.83032327586,1.08391057972461,0.448514722644666,-269557.530000001,44600,"xgb","066570.KS"
2367,328,0.295731707317073,2144.36788659794,1934.6879004329,1.10837923063359,0.465423313296356,-238909.220000001,44600,"lr","066570.KS"
2367,295,0.298305084745763,2153.81170454545,1857.72565217392,1.15938093551384,0.492876919445497,-195013.780000001,44600,"nn","066570.KS"
2367,301,0.302325581395349,455.264890109889,325.146261904763,1.40018491199274,0.606746795196855,-26851.6100000002,3250,"xgb","030200.KS"
2367,278,0.29136690647482,417.38574074074,321.430304568529,1.29852641399515,0.533911875805112,-29513.5250000002,3250,"lr","030200.KS"
2367,262,0.32824427480916,418.639941860464,330.000482954546,1.2686040278254,0.619886059051047,-22077.0500000002,3250,"nn","030200.KS"
2367,308,0.298701298701299,5698.10902173912,4871.60148148149,1.1696582824764,0.498187786980689,-528039.890000001,-83700,"xgb","004170.KS"
2367,301,0.285714285714286,5974.28604651162,4722.93925581396,1.26495085431329,0.505980341725314,-501643.340000001,-83700,"lr","004170.KS"
2367,293,0.293515358361775,6348.64860465116,4939.86371980677,1.28518699396418,0.533942422613136,-476568.010000001,-83700,"nn","004170.KS"
2367,288,0.354166666666667,4011.63921568628,3814.88887096774,1.0515743318805,0.576669794902212,-300382.13,-14000,"xgb","000810.KS"
2367,301,0.348837209302326,4058.26142857143,3629.41035714286,1.11815998446816,0.599014277393655,-285246.980000001,-14000,"lr","000810.KS"
2367,267,0.340823970037453,4109.22912087912,3545.27755681818,1.15907120247225,0.599292496732809,-250029,-14000,"nn","000810.KS"
2367,312,0.304487179487179,3757.54915789473,2931.92695852535,1.28159712402407,0.561067865356161,-279260.980000001,66100,"xgb","005380.KS"
