"Symbol","Name","Last.Sale","Net.Change","X..Change","Market.Cap","Country","IPO.Year","Volume","Sector","Industry"
"AAPL","Apple Inc. Common Stock","$143.29",1.29,"0.908%",2484267448600,"United States",1980,61732656,"Technology","Computer Manufacturing"
"MSFT","Microsoft Corporation Common Stock","$294.85",1.74,"0.594%",2215765684473,"United States",1986,20430471,"Technology","Computer Software: Prepackaged Software"
"AMZN","Amazon.com Inc. Common Stock","$3302.43",40.42,"1.239%",1672484366464,"United States",1997,2409075,"Consumer Services","Catalog/Specialty Distribution"
"NVDA","NVIDIA Corporation Common Stock","$210.75",3.75,"1.812%",5.26875e+11,"United States",1999,25691893,"Technology","Semiconductors"
"IDXX","IDEXX Laboratories Inc. Common Stock","$623.01",5.84,"0.946%",424025251163,"United States",1991,261515,"Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances"
"MCHP","Microchip Technology Incorporated Common Stock","$149.25",1.5,"1.015%",327203964174,"United States",1993,1563270,"Technology","Semiconductors"
"NFLX","Netflix Inc. Common Stock","$631.85",-7.25,"-1.134%",279654211833,"United States",2002,3556886,"Consumer Services","Movies/Entertainment"
"ADBE","Adobe Inc. Common Stock","$578.96",8.65,"1.517%",275469168000,"United States",1986,2648546,"Technology","Computer Software: Prepackaged Software"
"CSCO","Cisco Systems Inc. Common Stock (DE)","$55.02",1.08,"2.002%",232282640796,"United States",1990,14725495,"Technology","Computer peripheral equipment"
"INTU","Intuit Inc. Common Stock","$537.73",3.8,"0.712%",146849722981,"United States",1993,955575,"Technology","Computer Software: Prepackaged Software"
"QCOM","QUALCOMM Incorporated Common Stock","$127.84",-0.22,"-0.172%",144203520000,"United States",1991,8010556,"Technology","Computer peripheral equipment"
"SBUX","Starbucks Corporation Common Stock","$112.21",0.57,"0.511%",132306811000,"United States",1992,5549460,"",""
"ILMN","Illumina Inc. Common Stock","$404.05",11.1,"2.825%",126467650000,"United States",2000,1106868,"Health Care","Medical Specialities"
"ISRG","Intuitive Surgical Inc. Common Stock","$338.34",3.4,"1.015%",120777984975,"United States",2000,1906609,"Health Care","Medical/Dental Instruments"
"AMGN","Amgen Inc. Common Stock","$209.12",-0.86,"-0.41%",118749284059,"United States",1983,3331677,"Health Care","Biotechnology: Pharmaceutical Preparations"
"AMAT","Applied Materials Inc. Common Stock","$127.88",1.36,"1.075%",115466496580,"United States",1972,5761349,"Capital Goods","Industrial Machinery/Components"
"GILD","Gilead Sciences Inc. Common Stock","$68.14",0.66,"0.978%",85434575242,"United States",1992,5349386,"Health Care","Biotechnology: Pharmaceutical Preparations"
"LRCX","Lam Research Corporation Common Stock","$555.82",4.09,"0.741%",78260971721,"United States",1984,1053800,"Technology","Industrial Machinery/Components"
"MELI","MercadoLibre Inc. Common Stock","$1554.04",5.47,"0.353%",77253892566,"Argentina",2007,489569,"Consumer Services","Catalog/Specialty Distribution"
"CME","CME Group Inc. Class A Common Stock","$202.11",3.39,"1.706%",72585435750,"United States",2002,1465736,"Finance","Investment Bankers/Brokers/Service"
"FISV","Fiserv Inc. Common Stock","$109.26",0.78,"0.719%",72352487161,"United States",1986,1902344,"Technology","EDP Services"
"REGN","Regeneron Pharmaceuticals Inc. Common Stock","$552.02",5.45,"0.997%",59041508316,"United States",1991,774332,"Health Care","Biotechnology: Pharmaceutical Preparations"
"MRVL","Marvell Technology Inc. Common Stock","$65.15",1.46,"2.292%",53659587404,"Bermuda",2000,15222490,"Technology","Semiconductors"
"ALGN","Align Technology Inc. Common Stock","$661.41",10.76,"1.654%",52341722071,"United States",2001,488397,"Health Care","Industrial Specialties"
"DXCM","DexCom Inc. Common Stock","$539.19",-2.64,"-0.487%",52166039930,"United States",2005,493258,"Health Care","Medical/Dental Instruments"
"LULU","lululemon athletica inc. Common Stock","$399.72",1.59,"0.399%",51889068609,"Canada",2007,708742,"",""
"KLAC","KLA Corporation Common Stock","$330.10",1,"0.304%",50172790600,"United States",1980,811890,"Capital Goods","Electronic Components"
"EBAY","eBay Inc. Common Stock","$74.17",2.63,"3.676%",48214639057,"United States",1998,7309180,"Consumer Services","Catalog/Specialty Distribution"
"VRTX","Vertex Pharmaceuticals Incorporated Common Stock","$180.02",-0.89,"-0.492%",46702299488,"United States",1991,1287303,"Health Care","Biotechnology: Pharmaceutical Preparations"
"SNPS","Synopsys Inc. Common Stock","$298.37",3.8,"1.29%",45502246711,"United States",1992,760493,"Technology","EDP Services"
"TROW","T. Rowe Price Group Inc. Common Stock","$194.58",0.8,"0.413%",44157379278,"United States",1986,1015449,"Finance","Investment Managers"
"PAYX","Paychex Inc. Common Stock","$118.64",0.6,"0.508%",42780485038,"United States",1983,1397289,"Miscellaneous","Business Services"
"ORLY","O'Reilly Automotive Inc. Common Stock","$611.82",-1.11,"-0.181%",42186052955,"United States",1993,419031,"Consumer Services","Other Specialty Stores"
"CTAS","Cintas Corporation Common Stock","$400.80",4.86,"1.227%",41686931849,"United States",1983,343489,"Miscellaneous","Business Services"
