Date,Open,Close,upperband,middleband,lowerband,dema,ema,ht_trendline,kama,ma,midpoint,midprice,sma,t3,tema,trima,wma,adx,apo,aroondown,aroonup,bop,cci,cmo,dx,mfi,minus_di,mom,plus_di,ppo,roc,rsi,slowk,slowd,fastk,fastd,trix,ultosc,willr,ad,obv,atr,trange,beta,correl,linearreg,stddev,tsf,var
2009-01-02,1.87000000476837,2.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,11600.0,11600.0,,,,,,,,
2009-01-05,2.02999997138977,1.87000000476837,,,,,,,,,,,,,,,,,,,,-0.6400001716614638,,,,,,,,,,,,,,,,,,-8140.0017929092355,-11900.0,,0.24999988079071023,,,,,,
2009-01-06,1.89999997615814,1.71000003814697,,,,,,,,,,,,,,,,,,,,-0.7916663769218902,,,,,,,,,,,,,,,,,,-19981.656695937978,-32200.0,,0.24000000953674006,,,,,,
2009-01-07,1.73000001907349,1.45000004768372,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,-68981.65669593797,-81200.0,,0.27999997138977006,,,,,,
2009-01-08,1.45000004768372,1.46000003814697,2.135337388202284,1.6980000257492058,1.2606626632961278,,,,,,,,,,,,,,,,,0.049999940395336465,,,,,,,,,,,,,,,,,,-34681.65669593797,-46900.0,,0.20000004768371005,,,,0.21866868122653899,,0.047815992149353725
2009-01-09,1.46000003814697,1.3400000333786,1.9547621495593912,1.566000032424926,1.1772379152904606,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,-51181.65669593797,-63400.0,,0.12000000476837003,0.8561666272630514,,,0.19438105856723265,,0.03778399592971793
2009-01-12,1.37999999523163,1.30999994277954,1.7358794672761162,1.45400002002716,1.1721205727782036,,,,,,,,,,,,,,,,,-0.538461961689815,,,,,,,,,,,,,9.23076076620384,14.188036097039861,,,,-63166.40395848431,-219200.0,,0.12999999523162997,1.251125672327072,,,0.1409397236244782,,0.0198640056953443
2009-01-13,1.32000005245209,1.5900000333786,1.628796442787971,1.430000019073486,1.231203595359001,,,,,,,,,,,,,,,,,0.7714284643834872,,,,,,,,,,,,,70.83333747254382,29.86263794822131,,,,-30612.108388267738,-177000.0,,0.3500000238418599,0.5225198854185957,,,0.0993982118572425,,0.009880004520417263
2009-01-14,1.53999996185303,1.61000001430511,1.7090304103285336,1.462000012397764,1.2149696144669941,,,,,,,,,,,,,,,,,0.46666709052194383,,,,,,,,,,,54.595014003496885,32.88189601625268,83.72094377174301,54.595014003496885,,,,-27592.074787139147,-131700.0,,0.14999997615813987,0.5637028956358852,,,0.12351519896538482,,0.015256004375458598
2009-01-15,1.61000001430511,1.21000003814697,1.7310987544857717,1.412000012397764,1.0929012703097565,,,,,,,,,,,,,,,,,-0.9090907366808159,,,,,,,,,,,54.13247818014083,46.196710043953004,7.843153296135674,54.13247818014083,,,,-102292.04330505611,-223000.0,,0.4400000572204501,0.6774365700775016,,,0.1595493710440038,,0.025456001800537198
2009-01-16,1.25,1.29999995231628,1.7318048456737565,1.4039999961852998,1.0761951466968431,,,,,,,,,,,,,,,,,0.38461503192512886,,,,,,-0.70000004768372,,,-35.000002384186004,,39.01809756266258,49.24852991543343,25.490195620109066,39.01809756266258,,,,-121607.48696078954,-139300.0,,0.16999995708465998,0.23783275237455112,,,0.16390242474422834,,0.026864004837037436
2009-01-20,1.3400000333786,1.20000004768372,1.7449655777906443,1.382000017166136,1.0190344565416276,,,,,,,,,,,,,,,,,-0.6363638334038413,,,,,,-0.66999995708465,,,-35.828874619047944,,13.071906577313412,35.407494106705606,5.882370815695502,13.071906577313412,,,,-160507.48696078954,-178200.0,,0.21999990940093994,0.1617515832030605,,,0.1814827803122542,,0.032935999549865924
2009-01-21,1.27999997138977,1.25,1.6182630427468043,1.314000010490416,1.0097369782340275,,,,,,,,,,,,,,,,,-0.24999975164732285,,,,,,-0.46000003814697,,,-26.900586426035755,,15.68628321790228,22.59209578595942,15.686283217902284,15.68628321790228,,,,-151174.13508379116,-150200.0,,0.12000000476837003,0.2428976373288735,,,0.15213151612819417,,0.023143998199463
2009-01-22,1.22000002861023,1.20000004768372,1.3093562618166514,1.2320000171661378,1.1546437725156242,,,,,,1.6000000238418601,1.6349999308586152,,,,,,,,,,-0.13333322736948036,-80.61617673104445,,,,,-0.25,,,-17.241378743356496,,9.46228518526399,12.740158326826554,6.818201522194195,9.46228518526399,,,-96.77418362461633,-159060.80271472828,-159300.0,,0.14999997615813987,-0.2944850132929163,,1.1354285887309468,0.038678122325256824,1.08483518217946,0.0014959971466075306
