Date,Open,Close,upperband,middleband,lowerband,dema,ema,ht_trendline,kama,ma,midpoint,midprice,sma,t3,tema,trima,wma,adx,apo,aroondown,aroonup,bop,cci,cmo,dx,mfi,minus_di,mom,plus_di,ppo,roc,rsi,slowk,slowd,fastk,fastd,trix,ultosc,willr,ad,obv,atr,trange,beta,correl,linearreg,stddev,tsf,var
2009-01-02,8.94999980926514,9.11999988555908,,,,,,,,,,,,,,,,,,,,0.3863641782245496,,,,,,,,,,,,,,,,,,148113.82222193453,171500.0,,,,,,,,
2009-01-05,9.15999984741211,9.21000003814697,,,,,,,,,,,,,,,,,,,,0.10869605780094815,,,,,,,,,,,,,,,,,,264013.8475150327,311800.0,,0.4600000381469709,,,,,,
2009-01-06,9.25,9.47000026702881,,,,,,,,,,,,,,,,,,,,0.3235301129964897,,,,,,,,,,,,,,,,,,345331.9792652672,657400.0,,0.6799993515014702,,,,,,
2009-01-07,9.32999992370605,9.25,,,,,,,,,,,,,,,,,,,,-0.22222222222220522,,,,,,,,,,,,,,,,,,286998.9240872087,447400.0,,0.35999965667724965,,,,,,
2009-01-08,9.1899995803833,9.39999961853027,9.545186238934797,9.289999961853027,9.034813684771258,,,,,,,,,,,,,,,,,0.5526315129034487,,,,,,,,,,,,,,,,,,393766.92832352547,672800.0,,0.38000011444091975,,,,0.1275931385408844,,0.016280009002713314
2009-01-09,9.36999988555908,8.93000030517578,9.626037267210092,9.252000045776366,8.87796282434264,,,,,,,,,,,,,,,,,-0.9361687880835383,,,,,,,,,,,,,,,,,,148029.43311726002,391100.0,,0.5,0.4676132205173763,,,0.18701861071686293,,0.03497596075446552
2009-01-12,8.92000007629395,8.94999980926514,9.647928496240795,9.2,8.752071503759204,,,,,,,,,,,,,,,,,0.08823471663183446,,,,,,,,,,,,,15.21733947417286,32.58601674714482,,,,111623.21037768993,597400.0,,0.33999919891357067,0.4679054742638016,,,0.2239642481203978,,0.05015998443613512
2009-01-13,8.94999980926514,9.15999984741211,9.496083412663081,9.13799991607666,8.77991641949024,,,,,,,,,,,,,,,,,0.3888889870035283,,,,,,,,,,,,,50.72458560061477,26.945195089434023,,,,158911.7756452207,757000.0,,0.5399999618530309,0.10306264673753954,,,0.1790417482932099,,0.032055947631889126
2009-01-14,9.01000022888184,8.72999954223633,9.490175167303036,9.033999824523926,8.577824481744816,,,,,,,,,,,,,,,,,-0.5833341611747768,,,,,,,,,,,23.230630267374952,27.587280701317933,3.7499657273372202,23.230630267374952,,,,-26675.98773253255,544900.0,,0.4800004959106392,0.3701564694493265,,,0.22808767138955455,,0.052023985839909415
2009-01-15,8.72000026702881,9.02000045776367,9.237256419075349,8.957999992370606,8.678743565665863,,,,,,,,,,,,,,,,,0.5357142248932588,,,,,,,,,,,38.67102309895197,29.615616151920317,61.53851796890392,38.67102309895197,,,,142124.01226746745,713700.0,,0.5600004196166992,0.38933672792621676,,,0.13962821335237108,,0.019496037963975255
2009-01-16,9.09000015258789,9.52999973297119,9.608569419394717,9.077999877929688,8.547430336464659,,,,,,,,,,,,,,,,,0.6197176855534473,,,,,,0.4099998474121094,,,4.495612418387385,,54.484526523706414,38.79539329667778,98.1650958748781,54.484526523706414,,,,503923.51904325775,1097100.0,,0.7100000381469691,0.7180962948263446,,,0.26528477073251433,,0.0703760095826027
2009-01-20,9.43000030517578,9.53999996185303,9.815238196584792,9.195999908447266,8.57676162030974,,,,,,,,,,,,,,,,,0.32352825679633934,,,,,,0.32999992370605824,,,3.583061046028546,,80.7154432345089,57.956997619055755,82.44271585974467,80.7154432345089,,,,196933.2745661697,1966900.0,,0.3400001525878906,0.937880951919036,,,0.30961914406876295,,0.09586401437387337
2009-01-21,9.64000034332275,9.97999954223633,10.235533784323266,9.359999847412109,8.484465910500951,,,,,,,,,,,,,,,,,0.6938762402637902,,,,,,0.5099992752075195,,,5.38541986089649,,91.6725796510883,75.62418313643452,94.4099272186421,91.6725796510883,,,,494279.8399746703,2436900.0,,0.5299997329711701,0.919944951565229,,,0.4377669684555789,,0.19163991867078778
2009-01-22,9.75,10.0200004577637,10.34687836993206,9.618000030517583,8.889121691103107,,,,,,9.375000000000014,9.355000019073486,,,,,,,,,,0.5400009155274006,177.70159833159008,,,,,0.7700004577637003,,,8.324329273121078,,88.00116878892491,86.79639722484069,87.15086328838792,88.00116878892491,,,-12.849136711612074,541992.9320157537,3033300.0,,0.5,0.9352532149685334,,9.60028566632953,0.36443916970723883,9.64527467580943,0.1328159084169016
2009-01-23,9.17000007629395,9.51000022888184,10.180861301767976,9.715999984741217,9.251138667714457,,,,,,9.375000000000014,9.355000019073486,,,,,,,,64.28571428571429,92.85714285714286,0.3541668115390681,69.7168581835277,10.684939237891527,22.4878409307759,68.19171602811224,17.327245015680738,0.1100006103515696,27.381211628408415,,1.1702193065489475,55.342469618945756,76.35951051889815,85.34441965297044,47.517741049664366,76.35951051889815,,,-41.340770217229725,403918.0691809433,2559900.0,0.5242856570652521,0.9600000381469496,1.4191775359520262,,9.625428581237799,0.23243065851337988,9.670000013414327,0.054024011016963414
2009-01-26,9.55000019073486,9.89999961853027,10.229999819669537,9.789999961853033,9.350000104036528,,,,,,9.375000000000014,9.355000019073486,,,,,,,,57.142857142857146,85.71428571428572,0.5303022859289642,109.63413649600312,19.901712603362128,24.081628495965024,69.46575474534367,15.661294841995419,0.9699993133544904,25.59695275137673,,10.862253977665425,59.950856301681064,67.42038644000972,77.2603552492776,67.59255498197683,67.42038644000972,,,-19.55309435355549,442548.3443015949,2878600.0,0.5354080638106956,0.6799993515014613,2.0180117404744036,,9.752571351187576,0.21999992890825198,9.809120796538979,0.04839996871963592
2009-01-27,9.96000003814697,10.460000038147,10.580049425758274,9.973999977111827,9.36795052846538,,,,,,9.594999790191665,9.574999809265137,,,,,,,,50.0,100.0,0.6849319363520348,161.56059867864678,30.92441081207875,35.90846460816614,70.36049765601491,13.97965772311996,1.510000228881859,29.644379796509067,,16.871511296778905,65.46220540603937,66.65958075451006,70.14649257113929,84.86844623188894,66.65958075451006,,,-10.313882934955629,608950.1006311558,3328500.0,0.5535931993851481,0.7899999618530309,1.3335522975845122,,10.04114284515382,0.3030247243232235,10.13120878659763,0.09182398355116561
2009-01-28,9.80000019073486,10.0799999237061,10.606091482127582,9.994000053405781,9.38190862468398,,,,,,9.594999790191665,9.574999809265137,,,,,,,,42.85714285714286,92.85714285714286,0.5185180606502201,83.38101796345588,18.961141793620524,25.003314845583073,53.83849195439729,16.004921266111634,0.9200000762939915,26.67675521907639,,10.04366912248269,59.480570896810256,70.77647725343934,68.28548148265303,59.86843054645219,70.77647725343934,,,-27.354250309193723,1289973.1975652173,1656900.0,0.5683365586349132,0.760000228881859,0.9776739579025364,,10.172285706656346,0.3060457143608999,10.273406594664216,0.09366397927867354
2009-01-29,9.98999977111816,9.96000003814697,10.593934519141634,9.981999969482436,9.370065419823238,,,,,,9.594999790191665,9.574999809265137,,,,,,,,35.714285714285715,85.71428571428572,-0.0731701076489387,69.20346605252553,15.375838510101456,25.003314845583063,47.46391779799102,15.125243489239498,1.230000495910641,25.210521906515986,,14.089353498357182,57.68791925505072,65.57019181199371,67.66874993998101,51.973698657639936,65.57019181199371,,,-32.73541220121768,1185280.9320994432,1043700.0,0.5570267935475672,0.4099998474120703,0.9643488132149028,,10.270285688127807,0.3059672748295985,10.380329645597035,0.09361597326665105
2009-01-30,10.1000003814697,10.0900001525879,10.487543449568841,10.09799995422365,9.708456458878457,,,,,,9.594999790191665,9.574999809265137,,,,,,,,28.571428571428573,78.57142857142857,-0.016129404399457738,76.17443295673907,18.25028742981416,30.013186139356296,54.5789380774887,13.88263430326663,1.0699996948242294,25.78950831179639,,11.862523730841534,59.12514371490708,53.37267793239548,63.23978233260949,48.275904593094275,53.37267793239548,,,-26.905809460108614,1185282.0629728006,1778900.0,0.5615248715483918,0.6199998855591105,0.6984140822879079,,10.318571499415823,0.19477174767259595,10.42329679216659,0.03793603369143739
2009-02-02,9.93000030517578,10.25,10.51334622902871,10.168000030517595,9.82265383200648,,,,,,9.594999790191665,9.574999809265137,,,,,,,,21.42857142857143,71.42857142857143,0.6153834867769076,69.98032999813972,21.772225456147975,30.0131861393563,59.39095673552808,12.923644502724873,0.7200002670288104,24.008011018722833,,7.555092205698677,60.88611272807398,51.935063638847815,56.95931112774565,55.55558766580916,51.935063638847815,,,-19.730926937413276,1648897.1236777112,2352900.0,0.5585588419923432,0.520000457763711,0.6868314773214217,,10.377714347839373,0.17267309925555704,10.477252823965907,0.02981599920651945
2009-02-03,10.3299999237061,10.3500003814697,10.420983930604836,10.146000099182135,9.871016267759435,,,,,,9.594999790191665,9.574999809265137,,,,,,,,14.285714285714286,64.28571428571429,0.05882501437507043,95.84153559517777,23.97671912074309,34.57501372033466,61.362067828230124,12.324185900798557,0.8100004196166708,25.350062430313507,,8.490570470184133,61.98835956037154,62.38830916018431,55.89868357714252,83.33343522164942,62.38830916018431,,,-15.24660397789304,1770122.2682017034,2868100.0,0.542947438915283,0.3399991989134996,0.7022138295182795,,10.455428722926554,0.13749191571135022,10.553846327813122,0.018904026885977032
2009-02-04,10.3199996948242,10.2600002288818,10.46010822391333,10.182000160217274,9.903892096521218,,,,,,9.740000247955335,9.605000019073486,,,,,,,,7.142857142857143,100.0,-0.099999046326321,106.07881257190446,20.680535620439912,40.80758100584158,64.98682198267717,11.325793749992119,0.2800006866454705,26.941923442339004,,2.805618231348417,60.34026781021996,62.79119882408562,59.038190541039235,49.484573584798206,62.79119882408562,,,-21.397370274264116,1480373.0923346472,2410600.0,0.5470226490977413,0.6000003814696999,0.16219368059284323,,10.414571571350097,0.13905403184802778,10.489890266250777,0.019336023773192323
2009-02-05,10.1599998474121,10.6599998474121,10.699231954269752,10.322000122070301,9.94476828987085,,,,,,10.085000038146969,9.795000076293945,,,,,,,,0.0,92.85714285714286,0.8196725924790296,132.6054034246756,29.63480494067819,39.74563849206269,67.85766356647102,10.67018782042797,0.6399993896484002,24.74695893341286,,6.387219165768765,64.81740247033909,74.51321503816314,66.56424100747768,90.72163630804172,74.51321503816314,,,-4.712050250152753,1776635.428587844,2812200.0,0.5515210067819954,0.6099996566772994,0.31830383312608346,,10.47428586142403,0.18861591609972522,10.54076939886742,0.03557596380613859
2009-02-06,10.3800001144409,10.3500003814697,10.672422451081166,10.374000167846662,10.075577884612157,,,,,,10.085000038146969,9.960000038146976,,10.10971930085122,,,,,,0.0,85.71428571428572,-0.04477571575385547,73.77961436573966,18.47249760651513,31.72164638995622,60.72401968726101,11.68482845448663,0.8400001525878604,22.542207895047685,,8.832808962893424,59.236248803257574,66.32304905653216,67.87582097292695,58.76293727675649,66.32304905653216,,,-25.316432775013087,1854587.9501308233,2066100.0,0.560698099524408,0.6800003051757706,0.6825246648777857,,10.480285917009612,0.149211141617252,10.53868154379036,0.022263964782723633
2009-02-09,10.3100004196167,10.1899995803833,10.68334723378293,10.362000083923322,10.040652934063713,,,,,,10.085000038146969,9.960000038146976,,10.160531835495139,,,,,0.4651282444978353,21.42857142857143,78.57142857142857,-0.300001668927629,23.94589568254133,13.061313875741366,31.72164638995623,54.311355208023926,11.0605877117468,0.2899999618530309,21.337931370645908,4.791906471620089,2.929292656842386,56.530656937870674,58.91909653269834,66.58512020913119,27.27271601329677,58.91909653269834,,,-35.443066244152824,1854587.121388991,1718500.0,0.549219704715853,0.4000005722046396,0.4500455683780723,,10.423142923627568,0.16067357492980452,10.465604467706351,0.025815997680723513
2009-02-10,10.1999998092651,10.2299995422363,10.676797906940788,10.337999916076642,9.999201925212496,,,,,,10.085000038146969,9.960000038146976,,10.196064468382291,,,,,0.4824358927897894,14.285714285714286,71.42857142857143,0.06666610152610937,12.105680451933925,14.117406453732006,27.751639058936995,47.42293652190598,11.333831155731406,-0.2300004959106996,20.040807682032792,4.94845085812953,-2.198857505467511,57.058703226866,41.128329989762086,55.456825192997506,37.34933667923296,41.128329989762086,,,-32.91142296665348,2119672.5322849103,2420200.0,0.542132569326517,0.44999980926514915,0.07396104931312951,,10.420571299961603,0.16939899543207276,10.459889956882986,0.02869601965339541
