Symbol,Ex-Dividend Date
000100.KS,2019-12-27
000100.KS,2020-12-29
000100.KS,2021-12-29
000100.KS,2022-12-28
000120.KS,2022-12-28
000240.KS,2019-12-27
000240.KS,2020-12-29
000240.KS,2021-12-29
000240.KS,2022-12-28
000270.KS,2019-12-27
000270.KS,2020-12-29
000270.KS,2021-12-29
000270.KS,2022-12-28
000660.KS,2019-12-27
000660.KS,2020-12-29
000660.KS,2021-12-29
000660.KS,2022-03-30
000660.KS,2022-06-29
000660.KS,2022-09-29
000660.KS,2022-12-28
000660.KS,2023-03-30
000660.KS,2023-06-29
000660.KS,2023-09-26
001740.KS,2019-12-27
001740.KS,2020-12-29
001740.KS,2021-12-29
001740.KS,2022-12-28
003550.KS,2019-12-27
003550.KS,2020-12-29
003550.KS,2021-12-29
003550.KS,2022-12-28
004170.KS,2019-12-27
004170.KS,2020-12-29
004170.KS,2021-12-29
004170.KS,2022-12-28
005930.KS,2019-03-28
005930.KS,2019-06-27
005930.KS,2019-09-27
005930.KS,2019-12-27
005930.KS,2020-03-30
005930.KS,2020-06-29
005930.KS,2020-09-28
005930.KS,2020-12-29
005930.KS,2021-03-30
005930.KS,2021-06-29
005930.KS,2021-09-29
005930.KS,2021-12-29
005930.KS,2022-03-30
005930.KS,2022-06-29
005930.KS,2022-09-29
005930.KS,2022-12-28
005930.KS,2023-03-30
005930.KS,2023-06-29
005930.KS,2023-09-26
006360.KS,2019-12-27
006360.KS,2020-12-29
006360.KS,2021-12-29
006360.KS,2022-12-28
006400.KS,2019-12-27
006400.KS,2020-12-29
006400.KS,2021-12-29
006400.KS,2022-12-28
006800.KS,2019-12-27
006800.KS,2020-12-29
006800.KS,2021-12-29
006800.KS,2022-12-28
009150.KS,2019-12-27
009150.KS,2020-12-29
009150.KS,2021-12-29
009150.KS,2022-12-28
010060.KS,2021-12-29
010060.KS,2022-12-28
010620.KS,2019-12-27
010950.KS,2019-06-27
010950.KS,2019-12-27
010950.KS,2021-06-29
010950.KS,2021-12-29
010950.KS,2022-06-29
010950.KS,2022-12-28
010950.KS,2023-06-29
011200.KS,2021-12-29
011200.KS,2022-12-28
012450.KS,2020-12-29
012450.KS,2021-12-29
012450.KS,2022-12-28
012630.KS,2019-12-27
012630.KS,2020-12-29
012630.KS,2021-12-29
012630.KS,2022-12-28
016360.KS,2019-12-27
016360.KS,2020-12-29
016360.KS,2021-12-29
016360.KS,2022-12-28
032640.KS,2019-12-27
032640.KS,2020-12-29
032640.KS,2021-06-29
032640.KS,2021-12-29
032640.KS,2022-06-29
032640.KS,2022-12-28
032640.KS,2023-06-29
034220.KS,2021-12-29
035250.KS,2019-12-27
035250.KS,2022-12-28
035420.KS,2019-12-27
035420.KS,2020-12-29
035420.KS,2021-12-29
035420.KS,2022-09-29
035420.KS,2023-06-29
036460.KS,2019-12-27
036460.KS,2021-12-29
042670.KS,2022-12-28
051900.KS,2019-12-27
051900.KS,2020-12-29
051900.KS,2021-12-29
051900.KS,2022-12-28
051910.KS,2019-12-27
051910.KS,2020-12-29
051910.KS,2021-12-29
051910.KS,2022-12-28
078930.KS,2019-12-27
078930.KS,2020-12-29
078930.KS,2021-12-29
078930.KS,2022-12-28
096770.KS,2019-06-27
096770.KS,2019-12-27
096770.KS,2021-12-29
