Symbol,Ex-Dividend Date
AAPL,2019-02-08
AAPL,2019-05-10
AAPL,2019-08-09
AAPL,2019-11-07
AAPL,2020-02-07
AAPL,2020-05-08
AAPL,2020-08-07
AAPL,2020-11-06
AAPL,2021-02-05
AAPL,2021-05-07
AAPL,2021-08-06
AAPL,2021-11-05
AAPL,2022-02-04
AAPL,2022-05-06
AAPL,2022-08-05
AAPL,2022-11-04
AAPL,2023-02-10
AAPL,2023-05-12
AAPL,2023-08-11
AAPL,2023-11-10
AMAT,2019-02-20
AMAT,2019-05-22
AMAT,2019-08-21
AMAT,2019-11-20
AMAT,2020-02-18
AMAT,2020-05-20
AMAT,2020-08-19
AMAT,2020-11-18
AMAT,2021-02-24
AMAT,2021-05-26
AMAT,2021-08-25
AMAT,2021-11-24
AMAT,2022-02-22
AMAT,2022-05-25
AMAT,2022-08-24
AMAT,2022-11-23
AMAT,2023-02-22
AMAT,2023-05-24
AMAT,2023-08-23
AMAT,2023-11-22
ENTG,2019-01-29
ENTG,2019-04-30
ENTG,2019-07-30
ENTG,2019-10-29
ENTG,2020-01-28
ENTG,2020-04-28
ENTG,2020-07-28
ENTG,2020-10-27
ENTG,2021-01-26
ENTG,2021-04-27
ENTG,2021-07-27
ENTG,2021-10-26
ENTG,2022-02-01
ENTG,2022-05-03
ENTG,2022-08-02
ENTG,2022-11-01
ENTG,2023-01-31
ENTG,2023-05-02
ENTG,2023-08-01
ENTG,2023-10-31
INTU,2019-01-09
INTU,2019-04-09
INTU,2019-07-09
INTU,2019-10-09
INTU,2020-01-09
INTU,2020-04-09
INTU,2020-07-09
INTU,2020-10-08
INTU,2021-01-08
INTU,2021-04-09
INTU,2021-07-09
INTU,2021-10-07
INTU,2022-01-07
INTU,2022-04-08
INTU,2022-07-08
INTU,2022-10-06
INTU,2023-01-09
INTU,2023-04-06
INTU,2023-07-07
INTU,2023-10-05
KLAC,2019-02-14
KLAC,2019-05-14
KLAC,2019-08-14
KLAC,2019-11-15
KLAC,2020-02-20
KLAC,2020-05-15
KLAC,2020-08-14
KLAC,2020-11-13
KLAC,2021-02-18
KLAC,2021-05-14
KLAC,2021-08-13
KLAC,2021-11-12
KLAC,2022-02-11
KLAC,2022-05-13
KLAC,2022-08-12
KLAC,2022-11-14
KLAC,2023-02-10
KLAC,2023-05-12
KLAC,2023-08-14
KLAC,2023-11-14
LRCX,2019-03-19
LRCX,2019-06-11
LRCX,2019-09-30
LRCX,2019-12-10
LRCX,2020-03-24
LRCX,2020-06-16
LRCX,2020-09-29
LRCX,2020-12-08
LRCX,2021-03-16
LRCX,2021-06-15
LRCX,2021-09-27
LRCX,2021-12-14
LRCX,2022-03-15
LRCX,2022-06-14
LRCX,2022-09-13
LRCX,2022-12-13
