종목코드,종목명,종가,대비,등락률,상장시가총액
"005930","삼성전자","451000","-3000","-0.66","66432000987000"
"005490","POSCO","380000","3000","0.80","33130997300000"
"015760","한국전력","29600","-250","-0.84","18990404275200"
"017670","SK텔레콤","209000","-500","-0.24","16969485599000"
"009540","현대중공업","199500","3000","1.53","15162000000000"
"105560","KB금융","33700","-800","-2.32","12009052054100"
"055550","신한지주","29700","-250","-0.83","11767127733900"
"033780","KT&G","79100","-1900","-2.35","10978486512700"
"066570","LG전자","74800","-100","-0.13","10819656487200"
"030200","KT","37500","-100","-0.27","10257588750000"
"004170","신세계","482000","10000","2.12","9090761000000"
"000810","삼성화재","188500","5000","2.72","8930156774500"
"005380","현대차","39500","0","0.00","8700920920500"
"034220","LG디스플레이","21000","0","0.00","7514129700000"
"003550","LG","42700","500","1.18","7368189493700"
"096770","SK에너지","75300","5300","7.57","6962656969200"
"010950","S-Oil","61500","-200","-0.32","6923841708000"
"034020","두산중공업","62900","2000","3.28","6601562570000"
"000720","현대건설","57100","-300","-0.52","6338006584400"
"035420","NHN","130000","3500","2.77","6256601520000"
"000830","삼성물산","39700","200","0.51","6201845230800"
"023530","롯데쇼핑","210000","14500","7.42","6099108540000"
"032390","KTF","31400","850","2.78","5911806457400"
"012330","현대모비스","63100","-200","-0.32","5526992541700"
"051910","LG화학","71000","300","0.42","5341952670000"
"010140","삼성중공업","22600","-300","-1.31","5217783723600"
"053000","우리금융","6350","-80","-1.24","5118197409000"
"011200","현대상선","37100","2050","5.85","4937016795900"
"010060","동양제철화학","220000","-3000","-1.35","4600112220000"
"029780","삼성카드","36700","400","1.10","4512591299700"
"036460","한국가스공사","57500","-1500","-2.54","4443859325000"
"003600","SK","94500","500","0.53","4437891234000"
"086790","하나금융지주","19500","500","2.63","4131106063500"
"016360","삼성증권","62000","-700","-1.12","4143780230000"
"004940","외환은행","6330","-30","-0.47","4082260208580"
"090430","아모레퍼시픽","654000","14000","2.19","3823185246000"
"000120","대한통운","89000","1600","1.83","3575728436000"
"024110","기업은행","7690","40","0.52","3403941072770"
"004020","현대제철","37600","500","1.35","3192161754400"
"000660","하이닉스","6700","60","0.90","3079338693000"
"002380","KCC","287500","0","0.00","3024500000000"
"006360","GS건설","58000","300","0.52","2958000000000"
"051900","LG생활건강","190000","3000","1.60","2967457430000"
"042660","대우조선해양","15350","0","0.00","2937848135300"
"037620","미래에셋증권","73100","-900","-1.22","2919105443300"
"035250","강원랜드","13650","150","1.11","2920287825000"
"047040","대우건설","8880","110","1.25","2892383263680"
"032640","LG텔레콤","9930","-170","-1.68","2753374809900"
"003490","대한항공","38000","-750","-1.94","2734921978000"
"010620","현대미포조선","135000","-3000","-2.17","2700000000000"
"078930","GS","26900","1150","4.47","2499423668200"
"009150","삼성전기","33300","-800","-2.35","2487300076800"
"006400","삼성SDI","55000","-300","-0.54","2505708755000"
"042670","두산인프라코어","14550","-550","-3.64","2447417437200"
"012630","현대산업","32450","50","0.15","2446216641000"
"006800","대우증권","12800","-550","-4.12","2433291404800"
"006260","LS","76300","0","0.00","2456860000000"
"000150","두산","96500","3100","3.32","2386714428000"
"000240","한국타이어","15300","300","2.00","2328505913700"
"000270","기아차","6550","20","0.31","2274359480250"
"012450","삼성테크윈","28500","200","0.71","2194500000000"
"047050","대우인터내셔","22700","650","2.95","2156245215200"
"000100","유한양행","220000","5000","2.33","2116373380000"
"012750","에스원","54000","1100","2.08","2051955612000"
"097950","CJ제일제당","179000","-5000","-2.72","2018527152000"
"001300","제일모직","40200","1300","3.34","2010000000000"
"001740","SK네트웍스","8400","230","2.82","2041173103200"
"021240","웅진코웨이","26650","650","2.50","1983612613450"
"028670","STX팬오션","9400","220","2.40","1935063752400"
"004990","롯데제과","1305000","10000","0.77","1854927000000"
"028050","삼성엔지니어링","43500","500","1.16","1740000000000"
"086280","글로비스","46700","2950","6.74","1751250000000"
"005940","우리투자증권","12550","-100","-0.79","1663048980650"
"011170","호남석유","51700","800","1.57","1647162000000"
"015940","LG데이콤","19900","-50","-0.25","1657414304900"
"001230","동국제강","26900","-200","-0.74","1663073401000"
"003450","현대증권","9690","-110","-1.12","1647300000000"
"000700","한진해운","18100","250","1.40","1599466175700"
"103150","하이트맥주","165500","-500","-0.30","1550596973000"
"000210","대림산업","44500","-150","-0.34","1548600000000"
"088980","맥쿼리인프라","4800","130","2.78","1552752979200"
"004370","농심","244500","4500","1.88","1487205969000"
"010120","LS산전","49200","2650","5.69","1476000000000"
"000880","한화","19250","650","3.49","1442955648750"
"069960","현대백화점","63400","-200","-0.31","1439542774800"
"097230","한진중공업","28600","0","0.00","1353847466400"
"004800","효성","38200","250","0.66","1341486781000"
"010130","고려아연","73100","1200","1.67","1379397000000"
"071050","한국금융지주","23850","150","0.63","1261097489250"
"003690","코리안리","10800","600","5.88","1230888808800"
"001450","현대해상","14100","-200","-1.40","1260540000000"
"005300","롯데칠성","957000","87000","10.00","1184003271000"
"003240","태광산업","1027000","37000","3.74","1143461800000"
"051600","한전KPS","25000","850","3.52","1125000000000"
"036570","엔씨소프트","52600","1400","2.73","1076955964800"
"001800","오리온","182500","16500","9.94","1086702637500"
"001040","CJ","40000","850","2.17","1101723440000"
"004000","삼성정밀화학","38450","300","0.79","992010000000"
"005830","동부화재","14500","-200","-1.36","1026600000000"
"008930","한미약품","108500","0","0.00","943729745000"
"000670","영풍","528000","-3000","-0.56","972597120000"
"000640","동아제약","94500","0","0.00","968908500000"
"067250","STX조선","12450","0","0.00","896400000000"
"005270","대구은행","6700","-50","-0.74","885237500000"
"030000","제일기획","195000","2000","1.04","897321555000"
"025860","남해화학","18400","500","2.79","914090711200"
"045820","LG파워콤","6500","50","0.78","867100000000"
"006280","녹십자","93400","2600","2.86","841671951800"
"005280","부산은행","5820","40","0.69","853698843000"
"001440","대한전선","17700","-500","-2.75","868361681400"
"002790","태평양","105000","1500","1.45","837805290000"
"009830","한화석화","6000","-150","-2.44","841701066000"
"018880","한라공조","7250","-80","-1.09","774010000000"
"005880","대한해운","66000","1500","2.33","760592778000"
"003470","동양종금증권","6050","-100","-1.63","708980636100"
"002550","LIG손해보험","11800","-100","-0.84","708000000000"
"068870","LG생명과학","39800","-100","-0.25","659764202000"
"003540","대신증권","13700","-250","-1.79","695595580000"
"011810","STX","16400","50","0.31","655038927200"
"093050","LG패션","21500","1400","6.97","628660000000"
"010520","현대하이스코","7450","280","3.91","597490000000"
"020560","아시아나항공","3460","35","1.02","606090770780"
"004690","삼천리","157000","12000","8.28","636638925000"
"001430","세아베스틸","16650","100","0.60","597104281350"
"002990","금호산업","12900","350","2.79","627230662800"
"034120","SBS","33100","0","0.00","604160464200"
"042100","현대오토넷","2515","70","2.86","582959641470"
"006120","SK케미칼","26950","-500","-1.82","561720116650"
"001200","유진투자증권","995","-45","-4.33","576225589025"
"029530","신도리코","54500","500","0.93","549361580500"
"001120","LG상사","14600","-50","-0.34","565896000000"
"011790","SKC","15800","-100","-0.63","572197995400"
"069620","대웅제약","51900","1400","2.77","526900166100"
"007310","오뚜기","144000","6000","4.35","495360000000"
"003410","쌍용양회","6680","580","9.51","498731712480"
"003300","한일시멘트","65500","-400","-0.61","494218001500"
"008770","호텔신라","12850","-350","-2.65","504338354850"
"064420","케이피케미칼","4490","140","3.22","441536641180"
"069260","휴켐스","21850","1050","5.05","465206864200"
"077970","STX엔진","15950","450","2.90","457395486350"
"011070","LG이노텍","37500","800","2.18","450780000000"
"011780","금호석유","18300","-350","-1.88","465267380100"
"017800","현대엘리베이","65000","6400","10.92","463613345000"
"005180","빙그레","43550","2050","4.94","429021545550"
